agendaItem,date,development,Issue,section,zone,address,result,berniceRadle,thomasDearing,janiceMckinnie,jamesLewis,anthonyDiina,details,meetingId,agendaLink
6010,,Permit Curb Cut,In Excess Of Permitted Width,,N-2R,220 West Avenue,,,,,,,,,
6011,,Renovate Building and Construct Addition,Accessory Structures Not Permitted In Front Yard,,N-2R,310 Jersey Street,,,,,,,,,
6011,,Renovate Building and Construct Addition,Deficient In Corner Side And Rear Yards,,N-2R,310 Jersey Street,,,,,,,,,
6011,,Renovate Building and Construct Addition,Deficient In Ground Floor Corner Side Transparency,,N-2R,310 Jersey Street,,,,,,,,,
6011,,Renovate Building and Construct Addition,In Excess Of Building Coverage,,N-2R,310 Jersey Street,,,,,,,,,
6011,,Renovate Building and Construct Addition,In Excess Of Impervious Coverage,,N-2R,310 Jersey Street,,,,,,,,,
6012,,Construct a Restaurant,Deficient In Building Height,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Deficient In Building Height,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Deficient In Front And Corner Side Build-To Percentage,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Deficient In Front And Corner Side Build-To Percentage,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Deficient In Front And Corner Side Facade Transparency,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Deficient In Front And Corner Side Facade Transparency,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Deficient In Permitted Window Sill Height Along Front And Corner Side Facades,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Deficient In Permitted Window Sill Height Along Front And Corner Side Facades,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Drive-Through Not Permitted In Zone,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Drive-Through Not Permitted In Zone,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,In Excess Of Front And Corner Side Facade Blank Wall Width,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,In Excess Of Front And Corner Side Facade Blank Wall Width,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,In Excess Of Permitted Front And Corner Side Yards,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,In Excess Of Permitted Front And Corner Side Yards,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Main Entrance Must Be Along Front Facade,,N-3E,2200 South Park Avenue,,,,,,,,,
6012,,Construct a Restaurant,Main Entrance Must Be Along Front Facade,,N-3E,2200 South Park Avenue,,,,,,,,,
6014,,Install Fence,In Excess Of Permitted Height In Front And Corner Side Yards,,N-2R,166 Bryant Street,,,,,,,,,
6014,,Install Fence,Posts In Excess Of Permitted Height,,N-2R,166 Bryant Street,,,,,,,,,
6015,,Install Fence,Fence May Not Encroach Upon A Public Right-Of-Way,,N-2R,6 Claremont Avenue,,,,,,,,,
6015,,Install Fence,Fence May Not Encroach Upon A Public Right-Of-Way,,N-2R,6 Claremont Avenue,,,,,,,,,
6016,,Construct Addition to Home,Deficient In Rear Yard,,N-4-50,41 St. George's Square,,,,,,,,,
6017,,Construct a One-Story Addition,Deficient In Front And Corner Side Build-To Percentage,,N-3E,966 E. Ferry Street,,,,,,,,,
6017,,Construct a One-Story Addition,In Excess Of Permitted Front And Corner Side Yards,,N-3E,966 E. Ferry Street,,,,,,,,,
6017,,Construct a One-Story Addition,Parking Not Permitted In Front Or Corner Side Yards,,N-3E,966 E. Ferry Street,,,,,,,,,
6019,,Construct a One-Story Addition,Use Not Permitted In Zone,,N-2C,1010 Elmwood Avenue,,,,,,,,,
6019,,Establish Commercial Parking Lot,Use Not Permitted In Zone,,N-2C,1010 Elmwood Avenue,,,,,,,,,
6019,,Establish Commercial Parking Lot,Use Not Permitted In Zone,,N-2C,1010 Elmwood Avenue,,,,,,,,,
6020,,Establish Rooming House,Use Not Permitted In Zone,,N-2R,47 Bremen Street,,,,,,,,,
6021,,Establish a Car Wash,Use Not Permitted In Zone,,N-3C,3444 Bailey Avenue,,,,,,,,,
6022,,Establish a 4-Unit Dwelling,In Excess Of Permitted Residential Density,,N-3R,248 Dodge Street,,,,,,,,,
6024,,(219 Bryant AKA Elmwood Crossing) Construct Six Story Mixed Use Building,unknown,,unknown,451 Elmwood,,,,,,,,,
6037,,New Construction Of A 39 Unit Apartment Building,unknown,,unknown,129 West Avenue,,,,,,,,,
6037,,New Construction Of A 39 Unit Apartment Building,unknown,,unknown,129 West Avenue,,,,,,,,,
6236,,Construct a Fence,In Excess Of Permitted Height,,N-2R,295 Maryland Street,,,,,,,,,
6239,,Construct a Parking Lot,Parking May Not Be The Principal Use Of A Lot,,N-2C,28 Glenwood Avenue,,,,,,,,,
6251,,Install a Sign,Internal Illumination Not Permitted And Monument Sign Not Permitted,,N-2R,1014 Delaware Avenue,,,,,,,,,
6253,,Construct Parking Lot,Parking Not Permitted In Interior Side Yard,,N-3E,1498 South Park Avenue,,,,,,,,,
6254,,Convert Building for Use as Self-Storage,Self-Storage Not Permitted On First Floor,,N-3C,459 Broadway,,,,,,,,,
6255,,Expand Parking Lot,Parking Not Permitted In Front Yard,,N-2E,556 Franklin Street,,,,,,,,,
6256,,Install Pole Sign,In Excess Of Permitted Sign Area,,N-3E,2090 Genesee Street,,,,,,,,,
6256,,Install Pole Sign,In Excess Of Permitted Sign Height,,N-3E,2090 Genesee Street,,,,,,,,,
6256,,Install Pole Sign,Pole Sign Not Permitted,,N-3E,2090 Genesee Street,,,,,,,,,
6257,,Combine Lots,In Excess Of Permitted Lot Width,,N-4-30,39 Edge Park Avenue,,,,,,,,,
6475,,Construct Bank Branch,In Excess Of Permitted Interior Side Yard,,N-3E,1228 Jefferson Avenue,,,,,,,,,
6475,,Construct Bank Branch,In Excess Of Permitted Number Of Signs Per Right-Of-Way Frontage,,N-3E,1228 Jefferson Avenue,,,,,,,,,
6475,,Construct Bank Branch,In Excess Of Permitted Sign Area Per Right-Of-Way Frontage,,N-3E,1228 Jefferson Avenue,,,,,,,,,
6477,,Construct Building,In Excess Of Permitted Height,,N-1S,990 Niagara Street,,,,,,,,,
6477,,Construct Building,In Excess Of Permitted Height,,N-1S,990 Niagara Street,,,,,,,,,
6478,,Construct House,Residential Driveway May Only Be A Single-Lane And Garage Must Be Set Back At Least 20 Feet From The Front Facade,,N-3R,26 Bush Street,,,,,,,,,
6479,,Install Signage,In Excess Of Permitted Building Directory Signs,,N-1S,1050 Niagara Street,,,,,,,,,
6479,,Install Signage,In Excess Of Permitted Internal Illumination,,N-1S,1050 Niagara Street,,,,,,,,,
6479,,Install Signage,In Excess Of Permitted Supplemental Wall Signs,,N-1S,1050 Niagara Street,,,,,,,,,
6480,,Construct a Multiple-Unit Residential Building,Balconies Not Permitted In Interior Side Yard,,N-2E,129 West Avenue,,,,,,,,,
6697,,Construct a Gas Station/Store,Deficient In Corner Side Build-To Percentage,,N-1C/C-M,2516 Main Street,,,,,,,,,
6697,,Construct a Gas Station/Store,Deficient In Required Building Height,,N-1C/C-M,2516 Main Street,,,,,,,,,
6697,,Construct a Gas Station/Store,In Excess Of Permitted Corner Side Yard,,N-1C/C-M,2516 Main Street,,,,,,,,,
6697,,Construct a Gas Station/Store,Parking Not Permitted In Corner Side Yard,,N-1C/C-M,2516 Main Street,,,,,,,,,
6698,,Construct Parking Lot,Parking Not Permitted In Front Or Interior Side Yards,,N-2E,40 Brayton Street,,,,,,,,,
6699,,Install Parking Pad,Parking Not Permitted In Front Yard,,N-2R,24 Ardmore Place,,,,,,,,,
6700,,Install Parking Pad,Parking Not Permitted In Front Yard,,N-3R,62 Minnesota Avenue,,,,,,,,,
6701,,Install Parking Pad,Parking Not Permitted In Front Yard,,N-3R,66 Minnesota Avenue,,,,,,,,,
6704,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,455 Crescent Avenue,,,,,,,,,
6706,,Install Driveways,In Excess Of Permitted Driveway Width,,D-IH,635 Elk Street,,,,,,,,,
6707,,Construct Store,In Excess Of Permitted Lighting,,D-IL,1039 Clinton Street,,,,,,,,,
6987,,Add Dwelling Units,In Excess Of Permitted Residential Density,,N-3R,162 Waverly Street,,,,,,,,,
6988,,Replace Driveway,In Excess Of Permitted Impervious Coverage,,N-3R,162 Waverly Street,,,,,,,,,
6989,,Construct Garage,Deficient In Required Setback And In Excess Of Permitted Curb Cut Width,,N-3R,44 High View Terrace,,,,,,,,,
6990,,Install Fence,Fence May Not Encroach Upon A City Right-Of-Way,,N-2R,502 Porter Avenue,,,,,,,,,
6992,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,37 Fairchild Place,,,,,,,,,
6993,,Permit Parking Pad,Parking Not Permitted In Front Yard And In Excess Of Permitted Curb Cut Width,,N-2R,43 Putnam Street,,,,,,,,,
6994,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-2R,162 Oxford Avenue,,,,,,,,,
6994,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-2R,162 Oxford Avenue,,,,,,,,,
6995,,Expand Parking Lot,Parking Not Permitted In Front Yard,,D-M,2211 Main Street,,,,,,,,,
6996,,Construct a Day Care Center,Deficient In Front Facade Transparency,,D-R,563 Riley Street,,,,,,,,,
6997,,Construct a Restaurant,In Excess Of Permitted Front Yard And Deficient In Front Facade Transparency,,D-S,1893 Elmwood Avenue,,,,,,,,,
6997,,Construct a Restaurant,In Excess Of Permitted Front Yard And Deficient In Front Facade Transparency,,D-S,1893 Elmwood Avenue,,,,,,,,,
6997,,Construct a Restaurant,In Excess Of Permitted Front Yard And Deficient In Front Facade Transparency,,D-S,1893 Elmwood Avenue,,,,,,,,,
6997,,Construct a Restaurant,In Excess Of Permitted Front Yard And Deficient In Front Facade Transparency,,D-S,1893 Elmwood Avenue,,,,,,,,,
6997,,Construct a Restaurant,In Excess Of Permitted Front Yard And Deficient In Front Facade Transparency,,D-S,1893 Elmwood Avenue,,,,,,,,,
6998,,Construct Garage,In Excess Of Curb Cut Width And No More Than One Driveway Permitted,,N-4-50,47 Starin Avenue,,,,,,,,,
7331,,Construct Addition,Deficient In Ground Floor Transparency,,N-1S,245 Swan Street,,,,,,,,,
7331,,Construct Addition,In Excess Of Permitted Front Setback,,N-1S,245 Swan Street,,,,,,,,,
7332,,Install Fence,In Excess Of Permitted Fence Height,,N-2R,113 Hamilton Street,,,,,,,,,
7333,,Install Deck,Accessory Structures May Not Occupy More Than 50% Of A Required Yard And Must Be At Least 18 Inches From A Property Line,,N-2C,343 Connecticut Avenue,,,,,,,,,
7334,,Install Fence,In Excess Of Permitted Fence Height,,N-3E,920 Abbott Road,,,,,,,,,
7335,,Install Fence,In Excess Of Permitted Fence Height,,N-3C,1678 Hertel Avenue,,,,,,,,,
7336,,Install Fence,In Excess Of Permitted Fence Height,,N-2C,577 Niagara Street,,,,,,,,,
7337,,Install Deck and Fence,Accessory Structures May Not Occupy More Than 50% Of A Required Yard And In Excess Of Permitted Fence Height,,N-2R,12 Bidwell Pkwy,,,,,,,,,
7338,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,459 Colvin Avenue,,,,,,,,,
7339,,Construct Town Homes,Deficient In Garage Setback,,D-R,240 Lakefront Blvd. (And 260 Lakefront),,,,,,,,,
7340,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3C,102 Commonwealth Avenue,,,,,,,,,
7342,,Permit Parking Pad,Parking Not Permitted In Corner Side Yard,,N-3R,52 Remoleno Street,,,,,,,,,
7343,,Install Signage,In Excess Of Permitted Sign Area,,N-3C,1770 Hertel Avenue,,,,,,,,,
7344,,Construct Mixed-Use Building,Drive-Through Not Permitted,,N-2C,474 Michigan Avenue,,,,,,,,,
7344,,Construct Mixed-Use Building,Drive-Through Not Permitted,,N-2C,474 Michigan Avenue,,,,,,,,,
7344,,Construct Mixed-Use Building,Drive-Through Not Permitted,,N-2C,474 Michigan Avenue,,,,,,,,,
7345,,Construct an Attached Dwelling,Insufficient Garage Setback And In Excess Of Permitted Ground Floor Level Height,,N-2R,619 West Delavan Avenue,,,,,,,,,
7346,,Construct an Attached Dwelling,Insufficient Garage Setback And In Excess Of Permitted Ground Floor Level Height,,N-2R,621 West Delavan Avenue,,,,,,,,,
7347,,Construct Parking Lot,Off-Site Parking Not Allowed As A Principal Use,,N-2C,880 Elmwood Avenue,,,,,,,,,
7348,,Construct Multiple-Unit Dwelling,Deficient In Side Yard Setback Percentage And Balconies Not Permitted In An Interior Side Yard,,N-2R,295 Linwood Avenue,,,,,,,,,
7350,,Construct House,Deficient In Ground Floor Front Facade Transparency,,N-4-50,76 Lincoln Avenue,,,,,,,,,
7350,,Construct House,Deficient In Required Rear Yard,,N-4-50,76 Lincoln Avenue,,,,,,,,,
7350,,Construct House,In Excess Of Permitted Porch Projection,,N-4-50,76 Lincoln Avenue,,,,,,,,,
7350,,Construct House,Porch Must Be Roofed,,N-4-50,76 Lincoln Avenue,,,,,,,,,
7351,,Construct 12 Attached Houses,In Excess Of Permitted Aggregate Width,,N-2R,33 Gates Circle,,,,,,,,,
7352,,Construct Carriage House,Deficient In Setback From Principal Building And Deficient Ground Floor Transparency,,N-2R,61 Park Street,,,,,,,,,
7353,,Expand Parking Lot,Parking Not Permitted In An Interior Side Yard,,N-3C,1880 Clinton Street (And 1876 Clinton),,,,,,,,,
7354,,Erect Building and Fence,Principal Buildings Must Be Designed To Be Permanently Erected And In Excess Of Permitted Fence Height,,D-IL,482 Howard Street,,,,,,,,,
7782,,unknown,"Administrative Appeal Of Determination That The Property's Front Facade Is Along Starin Avenue, Rather Than Beard Avenue",,N-4-50,47 Starin Avenue,,,,,,,,,
7785,,Only One Residential Driveway/Curb Cut Permitted,In Excess Of Permitted Curb Cut Width,,N-4-50,1071 Amherst Street,,,,,,,,,
7785,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-4-50,1071 Amherst Street,,,,,,,,,
7786,,Install Signage,In Excess Of Permitted Sign Area,,N-1D,456 Main Street,,,,,,,,,
7787,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-2R,234 Baynes Street,,,,,,,,,
7788,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,72 Como Avenue,,,,,,,,,
7789,,Permit Parking Pad,Parking Not Permitted In Front Yard And In Excess Of Permitted Curb Cut Width,,N-3R,167 North Park Avenue,,,,,,,,,
7790,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,286 North Park Avenue,,,,,,,,,
7791,,Install Fence,In Excess Of Permitted Fence Height,,D-S,346 Kenmore Avenue,,,,,,,,,
7792,,Install Signage,In Excess Of Sign Area And In Excess Of Number Of On Premise Signs,,N-1C/C-M,1338 Main Street,,,,,,,,,
7793,,Renovate Facade,Deficient In Transparency,,N-1C/C-M,1338 Main Street,,,,,,,,,
7794,,Construct Patio and Pergola,Accessory Structures Not Permitted In Front Yard,,N-2R,355 Linwood Avenue,,,,,,,,,
7795,,Construct Mixed Use Building,Deficient In Interior Parking Lot Landscape And Deficient In Parking Lot Island Are,,N-1C/C-M,1159 Main Street,,,,,,,,,
7803,,Construct Building,Deficient In Front And Corner Side Transparency,,D-R,600 Northampton Street,,,,,,,,,
7804,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,84 Cochrane Street,,,,,,,,,
7805,,Install Fence,In Excess Of Permitted Height,,N-2R,214 Norwood Avenue,,,,,,,,,
7806,,Permit Restaurant,Use Not Permitted,,N-3R,464 Leroy Avenue,,,,,,,,,
7807,,Permit Vehicle Sales,Use Not Permitted,,N-3R,1338 East Ferry Street,,,,,,,,,
7807,,Permit Vehicle Sales,Use Not Permitted,,N-3R,1338 East Ferry Street,,,,,,,,,
7807,,Permit Vehicle Sales,Use Not Permitted,,N-3R,1338 East Ferry Street,,,,,,,,,
7808,,Construct Addition,Deficient In Corner Side Setback And Deficient In Rear Setback,,N-3R,100 Montrose Avenue,,,,,,,,,
7809,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,42 Sterling Avenue,,,,,,,,,
8002,,Install Signage,In Excess Of Permitted Sign Area For Address Sign,,N-3R,17 Mineral Spring Road,,,,,,,,,
8002,,Install Signage,In Excess Of Permitted Sign Area Of On-Premise Sign,,N-3R,17 Mineral Spring Road,,,,,,,,,
8002,,Install Signage,Sign Type Not Permitted,,N-3R,17 Mineral Spring Road,,,,,,,,,
8003,,Construct Addition,Deficient In Interior Side Yard Setback,,N-3R,107 Freund Street,,,,,,,,,
8004,,Combine Lots and Construct Two Driveways and Parking Area,In Excess Of Permitted Lot Width,,N-3R,10 Keppel Street,,,,,,,,,
8004,,Combine Lots and Construct Two Driveways and Parking Area,Interior Side Yard Parking Not Permitted,,N-3R,10 Keppel Street,,,,,,,,,
8004,,Combine Lots and Construct Two Driveways and Parking Area,Only One Driveway Permitted,,N-3R,10 Keppel Street,,,,,,,,,
8005,,Construct Single-Unit Dwelling,In Excess Of Garage Setback And In Excess Of Permitted Lot Width,,N-3R,160 Purdy Street,,,,,,,,,
8005,,Construct Single-Unit Dwelling,In Excess Of Garage Setback And In Excess Of Permitted Lot Width,,N-3R,160 Purdy Street,,,,,,,,,
8007,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,16 Greenfield Street,,,,,,,,,
8008,,Permit Fence,Barbed/Razor Wire Not Permitted,,D-C,120 Dart Street/ 40 Bradley Street,,,,,,,,,
8009,,Permit an Emergency Shelter,Use Not Permitted,,N-2R,75 Hickory Street,,,,,,,,,
8010,,Renovate Building,In Excess Of Residential Density,,N-2R,357 Vermont Street,,,,,,,,,
8012,,Erect Sign,In Excess Of Permitted Illumination,,N-3E,449 East Ferry Street,,,,,,,,,
8012,,Pole Sign Not Permitted,In Excess Of Permitted Sign Area,,N-3E,449 East Ferry Street,,,,,,,,,
8013,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,190 Commonwealth Avenue,,,,,,,,,
8014,,Permit Retail Store,Use Not Permitted,,N-3R,31 Walden Avenue,,,,,,,,,
8014,,Permit Retail Store,Use Not Permitted,,N-3R,31 Walden Avenue,,,,,,,,,
8014,,Permit Retail Store,Use Not Permitted,,N-3R,31 Walden Avenue,,,,,,,,,
8014,,Permit Retail Store,Use Not Permitted,,N-3R,31 Walden Avenue,,,,,,,,,
8015,,Construct a Two-Story Rear Addition,unknown,,unknown,135 Cleveland Avenue,,,,,,,,,
8020,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,84 Cochrane Street,,,,,,,,,
8212,,Install Fence,In Excess Of Permitted Fence Height,,N-3R,101 Schiller Avenue,,,,,,,,,
8214,,Install Sign,In Excess Of Permitted Sign Area,,N-2R,869 Delaware Avenue,,,,,,,,,
8214,,Install Sign,In Excess Of Permitted Sign Area,,N-2R,869 Delaware Avenue,,,,,,,,,
8214,,Install Sign,In Excess Of Permitted Sign Area,,N-2R,869 Delaware Avenue,,,,,,,,,
8214,,Install Sign,In Excess Of Permitted Sign Height,,N-2R,869 Delaware Avenue,,,,,,,,,
8214,,Install Sign,In Excess Of Permitted Sign Height,,N-2R,869 Delaware Avenue,,,,,,,,,
8214,,Install Sign,In Excess Of Permitted Sign Height,,N-2R,869 Delaware Avenue,,,,,,,,,
8214,,Install Sign,Sign Type Not Permitted,,N-2R,869 Delaware Avenue,,,,,,,,,
8214,,Install Sign,Sign Type Not Permitted,,N-2R,869 Delaware Avenue,,,,,,,,,
8214,,Install Sign,Sign Type Not Permitted,,N-2R,869 Delaware Avenue,,,,,,,,,
8216,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3E,553 Walden Avenue,,,,,,,,,
8217,,Permit Parking Pad,In Excess Of Driveway Width,,N-3E,555 Walden Avenue,,,,,,,,,
8217,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3E,555 Walden Avenue,,,,,,,,,
8218,,Install Sign,Electronic Message Center Not Permitted,,N-3R,3269 Main Street,,,,,,,,,
8218,,Install Sign,In Excess Of Sign Area,,N-3R,3269 Main Street,,,,,,,,,
8218,,Install Sign,In Excess Of Sign Height,,N-3R,3269 Main Street,,,,,,,,,
8219,,Install Fence,In Excess Of Fence Height,,N-2R,240 Richmond Avenue,,,,,,,,,
8220,,Construct Building,In Excess Of Building Height,,N-2E,47 East Amherst Street,,,,,,,,,
8220,,Construct Building,In Excess Of Building Height,,N-2E,47 East Amherst Street,,,,,,,,,
8220,,Construct Building,In Excess Of Front And Corner Side Blank Wall Width,,N-2E,47 East Amherst Street,,,,,,,,,
8220,,Construct Building,In Excess Of Front And Corner Side Blank Wall Width,,N-2E,47 East Amherst Street,,,,,,,,,
8220,,Construct Building,In Excess Of Front And Corner Side Setbacks,,N-2E,47 East Amherst Street,,,,,,,,,
8220,,Construct Building,In Excess Of Front And Corner Side Setbacks,,N-2E,47 East Amherst Street,,,,,,,,,
8220,,Construct Building,In Excess Of Lot Width,,N-2E,47 East Amherst Street,,,,,,,,,
8220,,Construct Building,In Excess Of Lot Width,,N-2E,47 East Amherst Street,,,,,,,,,
8220,,Construct Building,Parking Only Permitted In Rear Yard,,N-2E,47 East Amherst Street,,,,,,,,,
8220,,Construct Building,Parking Only Permitted In Rear Yard,,N-2E,47 East Amherst Street,,,,,,,,,
8222,,Permit a Sidewalk Sign,In Excess Of Permitted Distance From The Main Entrance,,N-2C,762 Elmwood Avenue,,,,,,,,,
8222,,Permit a Sidewalk Sign,In Excess Of Sign Area,,N-2C,762 Elmwood Avenue,,,,,,,,,
8222,,Permit a Sidewalk Sign,In Excess Of Sign Height,,N-2C,762 Elmwood Avenue,,,,,,,,,
8230,,Install Signage,In Excess Of Sign Area For On-Premise Sign And In Excess Of Sign Area For Building Directory Sign,,N-1C,500 Pearl Street,,,,,,,,,
8231,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,70 Adams Street,,,,,,,,,
8232,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,76 Adams Street,,,,,,,,,
8233,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,71 Adam Street,,,,,,,,,
8234,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,75 Adams Street,,,,,,,,,
8235,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,79 Adam Street,,,,,,,,,
8236,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,81 Adams Street,,,,,,,,,
8237,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,96 Howard Street,,,,,,,,,
8238,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,98 Howard Street,,,,,,,,,
8239,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,130 Monroe Street,,,,,,,,,
8240,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,134 Monroe Street,,,,,,,,,
8241,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,136 Monroe Street,,,,,,,,,
8242,,Erect One-Unit Dwelling,Deficient In Interior Side Yard Setback,,N-4-30,138 Monroe Street,,,,,,,,,
8378,,New Construction Of Multifamily Residential Structure,unknown,,unknown,169 West Utica,,,,,,,,,
8403,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-3R,338 Skillen Street,,,,,,,,,
8405,,Install Sign,Internal Illumination Not Permitted,,N-2R,413 Swan Street,,,,,,,,,
8406,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-2R,176 Lafayette Avenue,,,,,,,,,
8407,,Construct Driveway,In Excess Of Permitted Driveway Width,,D-IH,427 Elk Street,,,,,,,,,
8409,,Erect Off-Premise Sign,Deficient In Required Spacing Between Off-Premise Signs,,D-IL,1600 Clinton Street,,,,,,,,,
8409,,Erect Off-Premise Sign,Deficient In Required Spacing Between Off-Premise Signs,,D-IL,1600 Clinton Street,,,,,,,,,
8410,,Erect House,Deficient In Ground Floor And Upper Floor Corner Side Facade Transparency,,N-2R,133 School Street,,,,,,,,,
8653,,Erect Building,Deficient In Front Facade Ground Story Transparency,,N-2C,1 Marine Drive,,,,,,,,,
8653,,Erect Building,Deficient In Ground Story Height,,N-2C,1 Marine Drive,,,,,,,,,
8653,,Erect Building,In Excess Of Front Facade Blank Wall Width,,N-2C,1 Marine Drive,,,,,,,,,
8653,,Erect Building,In Excess Of Front Yard Setback,,N-2C,1 Marine Drive,,,,,,,,,
8654,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-2R,420 Prospect Avenue,,,,,,,,,
8655,,Erect Addition,Deficient In Required Street Trees,,D-IH,680 New Babcock Street,,,,,,,,,
8655,,Sidewalks Not Provided,In Excess Of Curb Cut Width,,D-IH,680 New Babcock Street,,,,,,,,,
8655,,Sidewalks Not Provided,In Excess Of Driveway Flare Width,,D-IH,680 New Babcock Street,,,,,,,,,
8656,,Expand Parking Lot,Parking Not Permitted In Interior Side Yard,,N-3E,2354 South Park Avenue,,,,,,,,,
8657,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-2R,226 Anderson,,,,,,,,,
8867,,Install Signs,In Excess Of Permitted Signs Per Right-Of-Way Frontage,,N-3E,1756 Genesee Street,,,,,,,,,
8867,,Install Signs,In Excess Of Sign Area,,N-3E,1756 Genesee Street,,,,,,,,,
8867,,Install Signs,Monument Sign Not Permitted Unless Building Is Set Back At Least 15 Feet,,N-3E,1756 Genesee Street,,,,,,,,,
8869,,unknown,"Administrative Appeal Of Determination That A Civic Building Is Not A Permitted Building Type For The Construction Of A U. S. Post Office That Is To Be Leased By The Usps, But Constructed And Owned By A Private Company",,N-1C,677 Washington Street,,,,,,,,,
8870,,Renovate Building,Self-Storage Not Permitted On First Floor,,N-1S,57 Tonawanda Street,,,,,,,,,
8870,,Renovate Building,Self-Storage Not Permitted On First Floor,,N-1S,57 Tonawanda Street,,,,,,,,,
8871,,Alteration of Lots,In Excess Of Lot Width,,N-2R,175 Normal Avenue,,,,,,,,,
8872,,Permit Parking Pad,Parking Not Permitted In Front Yard,,N-2R,152 Fargo Avenue,,,,,,,,,
9027,,Construct Driveway,No More Than One Driveway Permitted,,N-3R,283 Potters Road,,,,,,,,,
9028,,Construct Building,In Excess Of Front Yard Setback,,N-3C/N-3R,1597 Elmwood Avenue (And 709 Amherst St.),,,,,,,,,
9028,,Construct Building,In Excess Of Interior Side Yard Setback,,N-3C/N-3R,1597 Elmwood Avenue (And 709 Amherst St.),,,,,,,,,
9028,,Construct Building,Interior Side Yard Parking Not Permitted,,N-3C/N-3R,1597 Elmwood Avenue (And 709 Amherst St.),,,,,,,,,
9029,,Combine Lots and Construct Driveway,In Excess Of Lot Width And No More Than One Driveway Permitted,,N-3R,64 Allegany Street,,,,,,,,,
9035,,Construct Addition,Vehicle Parking Entry Not Permitted Along A Pedestrian Priority Frontage And Garage Must Be Setback At Least 20 Feet From Front Facade Of Principal Structure,,N-1C,433 Ellicott Street,,,,,,,,,
9036,,Construct Building,Deficient In Upper Story Height And Deficient In Setback For Roof Deck,,N-1S,799 Seneca Street,,,,,,,,,
9037,,Construct Two Buildings,In Excess Of Driveway Width,,N-2C,874 Seneca Street (Combining 856-874 Seneca),,,,,,,,,
9037,,Construct Two Buildings,In Excess Of Interior Side Yard,,N-2C,874 Seneca Street (Combining 856-874 Seneca),,,,,,,,,
9037,,Construct Two Buildings,In Excess Of Lot Width,,N-2C,874 Seneca Street (Combining 856-874 Seneca),,,,,,,,,
